               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098742,            0.090328,            0.046498,              0.8439,            0.036293,            0.025377,           0.0084626,            0.065773,            0.089293,            0.027067,              0.0784,              0.0024,              0.0024
                   1,            0.073613,            0.081186,            0.030084,             0.72247,             0.27708,             0.16298,            0.048692,             0.07176,            0.070289,            0.019488,            0.055825,           0.0048254,           0.0048254
                   2,            0.077295,            0.062048,            0.022898,             0.89055,             0.20884,              0.4297,             0.12827,            0.070684,            0.052827,            0.013077,            0.033175,           0.0071746,           0.0071746
                   3,            0.075371,            0.054892,            0.017761,             0.81043,             0.32145,             0.44147,             0.15265,             0.06514,            0.052661,            0.010007,            0.010448,           0.0094476,           0.0094476
                   4,            0.069368,            0.054606,            0.014664,              0.5749,             0.59123,             0.42353,              0.1497,            0.065945,            0.058773,            0.008294,           0.0093908,           0.0093908,           0.0093908
                   5,            0.059564,            0.051605,            0.013122,             0.68301,                 0.6,             0.62249,             0.20033,            0.061111,            0.056326,           0.0083612,           0.0093908,           0.0093908,           0.0093908
                   6,            0.053089,            0.048672,            0.011574,             0.74468,                 0.6,             0.63667,             0.25395,             0.04231,            0.049614,           0.0071834,           0.0092385,           0.0092385,           0.0092385
                   7,            0.046439,            0.045851,            0.010033,             0.48196,             0.87279,               0.738,             0.36183,             0.04128,            0.047197,           0.0062012,           0.0090862,           0.0090862,           0.0090862
                   8,             0.04189,            0.043107,           0.0095989,              0.6981,             0.78462,             0.73469,             0.35574,            0.035561,             0.04251,           0.0050912,           0.0089338,           0.0089338,           0.0089338
                   9,              0.0396,            0.043522,           0.0087503,               0.493,             0.76923,             0.77859,             0.39904,            0.033418,            0.040214,           0.0050666,           0.0087815,           0.0087815,           0.0087815
                  10,            0.037159,            0.040755,           0.0082656,             0.58652,              0.7776,             0.81268,             0.51093,            0.033488,            0.039554,            0.004879,           0.0086292,           0.0086292,           0.0086292
                  11,            0.036247,            0.041338,           0.0081492,             0.75821,             0.77409,             0.70389,             0.37288,            0.034666,            0.038856,           0.0052592,           0.0084769,           0.0084769,           0.0084769
                  12,             0.03364,            0.040447,           0.0081275,             0.61647,             0.83112,             0.78409,             0.50108,            0.029694,            0.038225,           0.0052569,           0.0083246,           0.0083246,           0.0083246
                  13,            0.032811,            0.038787,           0.0074367,             0.62268,             0.92308,              0.7847,             0.48592,             0.02492,            0.036597,           0.0051948,           0.0081723,           0.0081723,           0.0081723
                  14,            0.033186,            0.039758,           0.0067397,             0.68387,             0.98462,             0.83784,             0.50771,            0.027139,            0.038341,           0.0043576,             0.00802,             0.00802,             0.00802
                  15,            0.030198,            0.039948,           0.0068178,             0.78126,                0.95,              0.9065,             0.70429,            0.021851,            0.032157,           0.0040669,           0.0078677,           0.0078677,           0.0078677
                  16,            0.029137,            0.038241,           0.0068395,             0.67822,             0.90991,             0.82014,             0.58788,            0.026238,            0.036789,           0.0042247,           0.0077154,           0.0077154,           0.0077154
                  17,            0.028807,            0.037662,           0.0061946,             0.91678,                 0.8,             0.80091,             0.62089,            0.023643,            0.036823,           0.0039469,           0.0075631,           0.0075631,           0.0075631
                  18,            0.027886,            0.036027,           0.0061551,             0.83974,             0.93593,              0.9496,             0.66538,            0.023589,            0.034779,           0.0037484,           0.0074108,           0.0074108,           0.0074108
                  19,            0.029114,            0.036385,           0.0059045,               0.887,             0.91285,             0.93817,             0.67746,            0.021952,            0.034785,           0.0037877,           0.0072585,           0.0072585,           0.0072585
                  20,            0.027771,            0.036506,           0.0056562,             0.89599,             0.86453,             0.88688,             0.67559,            0.019772,            0.033721,           0.0037283,           0.0071062,           0.0071062,           0.0071062
                  21,            0.026677,            0.035593,            0.005946,             0.81873,             0.85962,             0.92179,             0.65601,            0.024273,            0.034102,           0.0036412,           0.0069538,           0.0069538,           0.0069538
                  22,            0.026626,            0.035114,           0.0054388,             0.87808,             0.93264,             0.97184,             0.72953,            0.022527,            0.032831,           0.0035655,           0.0068015,           0.0068015,           0.0068015
                  23,            0.025693,            0.035605,           0.0049957,             0.77215,             0.86495,             0.88316,             0.65071,             0.02063,            0.033739,           0.0046738,           0.0066492,           0.0066492,           0.0066492
                  24,            0.024301,            0.034357,           0.0054742,             0.90348,                   1,             0.98734,             0.76117,            0.020836,            0.031513,           0.0036637,           0.0064969,           0.0064969,           0.0064969
                  25,             0.02417,            0.033536,           0.0052832,             0.88267,             0.86372,             0.92586,             0.65833,            0.019616,            0.032805,            0.004061,           0.0063446,           0.0063446,           0.0063446
                  26,            0.023377,            0.034139,           0.0053357,             0.96251,             0.99298,             0.99371,             0.76257,            0.021619,            0.031786,           0.0030881,           0.0061923,           0.0061923,           0.0061923
                  27,             0.02438,            0.034746,           0.0045179,              0.8909,                   1,             0.99283,              0.7941,            0.019245,            0.030403,            0.003277,             0.00604,             0.00604,             0.00604
                  28,            0.022646,            0.033328,           0.0044377,             0.89167,             0.99254,              0.9935,             0.75214,            0.019872,            0.030265,           0.0033477,           0.0058877,           0.0058877,           0.0058877
                  29,            0.021735,            0.032533,           0.0040008,             0.80936,             0.89231,              0.9364,             0.69227,             0.02182,            0.033723,           0.0043718,           0.0057354,           0.0057354,           0.0057354
                  30,            0.021406,            0.033413,           0.0035897,             0.95022,                 0.8,             0.79745,             0.62575,            0.020728,            0.037118,           0.0046433,           0.0055831,           0.0055831,           0.0055831
                  31,            0.022198,             0.03258,           0.0037762,             0.91611,             0.95738,             0.98737,             0.80045,            0.017118,            0.030969,           0.0027843,           0.0054308,           0.0054308,           0.0054308
                  32,            0.021147,            0.032492,           0.0040409,             0.80301,             0.97935,              0.9919,             0.77659,            0.016885,            0.030331,            0.003504,           0.0052785,           0.0052785,           0.0052785
                  33,            0.020992,            0.031889,           0.0032765,             0.81012,             0.98462,             0.97912,             0.78563,            0.017635,            0.031199,           0.0034832,           0.0051262,           0.0051262,           0.0051262
